180402_1606,1,subjects,2,8,1,0,0,0,0,1.56,0,0,0,0,0,0,0,0,1,1,4,0,-,-,-,-,-,28.62426036,-31.81818182,-,-,8,2,5,6,11,12,1,6,998,4,0.74,1.56,6,5,5,7,4,6,192,-,1000,,,,,,,,,,,,,,,,,
180402_1606,1,subjects,2,9,1,0,0,0,0,1.52,0,0,0,0,0,0,0,0,2,2,5,0,-,-,-,-,-,17.08579882,-25.9469697,-,-,9,1,3,4,7,10,1,5,991,4,0.78,1.52,5,4,5,5,7,7,198,-,993,,,,,,,,,,,,,,,,,
180402_1606,1,subjects,2,10,1,0,0,0,0,1.4,0,0,0,0,0,0,0,0,2,2,6,0,-,-,-,-,-,42.82544379,-28.03030303,-,-,10,1,3,4,7,9,1,7,998,4,0.7,1.4,7,4,5,5,7,5,194,-,1000,,,,,,,,,,,,,,,,,
180402_1606,1,subjects,2,11,1,0,0,0,0,1.6,0,0,0,0,0,0,0,0,1,1,5,0,-,-,-,-,-,1.109467456,-20.45454545,-,-,11,2,5,6,8,12,1,4,991,4,0.82,1.6,4,5,5,7,6,6,191,-,997,,,,,,,,,,,,,,,,,
180402_1606,1,subjects,2,12,1,0,0,0,0,1.44,0,0,0,0,0,0,0,0,1,1,6,0,-,-,-,-,-,27.14497041,-32.00757576,-,-,12,2,5,6,8,11,1,6,998,4,0.74,1.44,6,5,5,7,6,4,194,-,1000,,,,,,,,,,,,,,,,,
180402_1606,1,globals,Period,NumPeriods,RepeatTreatment,numSubjects,groupSize,numGroups,TRUE,FALSE,Choices,prof,minChoice,fee,rate,a,b,c,choice1,choice2,choice3,choice4,choice5,InfoTime,Time,LastPeriod,groupID,groupIDs[1],groupIDs[2],groupIDs[3],groupIDs[4],groupIDs[5],groupIDs[6],groupIDs[7],groupIDs[8],groupIDs[9],groupIDs[10],groupIDs[11],groupIDs[12],subjectID,pointID,randID,id,au[1],au[2],au[3],au[4],au[5],au[6],au[7],au[8],au[9],au[10],au[11],au[12],Role[1],Role[2],Role[3],Role[4],Role[5],Role[6],Role[7],Role[8],Role[9],Role[10],Role[11],Role[12],i,g
180402_1606,1,globals,3,10,0,12,6,2,1,0,0,0,0,8,1,0.2,0.04,0.18,0,0,0,0,0,200,1000,10,3,1,2,1,2,1,2,2,1,1,2,1,2,13,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,4,4,5,5,6,6,13,1
180402_1606,1,subjects,Period,Subject,Group,Profit,TotalProfit,Participate,payoff[1],payoff[2],payoff[3],payoff[4],payoff[5],payoff[6],payoff[7],payoff[8],payoff[9],payoff[10],GroupID,firstGroupID,role,button,Input11,Input12,Input13,Input14,Input15,x,y,TimeContinueComprehensionPayoffsOK,TimeContinueGroupRandomizationMessageOK,r0,r1,r2,r3,r4,r5,ready,Choices,TimeOKMainStageOK,minChoice,prof,payment,choice0,choice1,choice2,choice3,choice4,choice5,TimeContinueInfornationOK,TimePlotSelectComprehensionPayoffsOK,TimePlotSelectMainStageOK,,,,,,,,,,,,,,,,,
180402_1606,1,subjects,3,1,1,0,0,0,0,0,2.38,0,0,0,0,0,0,0,2,2,1,0,-,-,-,-,-,10.35502959,-30.3030303,-,-,1,3,4,7,9,10,1,5,999,4,0.78,2.38,5,4,5,4,5,6,200,-,1000,,,,,,,,,,,,,,,,,
180402_1606,1,subjects,3,2,1,0,0,0,0,0,2.14,0,0,0,0,0,0,0,1,1,1,0,-,-,-,-,-,13.38757396,-32.38636364,-,-,2,5,6,8,11,12,1,5,999,3,0.58,2.14,5,6,7,3,5,5,198,-,99999,,,,,,,,,,,,,,,,,
180402_1606,1,subjects,3,3,1,0,0,0,0,0,2.42,0,0,0,0,0,0,0,2,2,2,0,-,-,-,-,-,4.068047337,-24.43181818,-,-,3,1,4,7,9,10,1,4,1000,4,0.82,2.42,4,5,5,4,5,6,200,-,99999,,,,,,,,,,,,,,,,,
180402_1606,1,subjects,3,4,1,0,0,0,0,0,2.3,0,0,0,0,0,0,0,2,2,3,0,-,-,-,-,-,17.08579882,-26.32575758,-,-,4,1,3,7,9,10,1,5,991,4,0.78,2.3,5,5,4,4,5,6,192,-,994,,,,,,,,,,,,,,,,,
180402_1606,1,subjects,3,5,1,0,0,0,0,0,2.14,0,0,0,0,0,0,0,1,1,2,0,-,-,-,-,-,29.28994083,-30.87121212,-,-,5,2,6,8,11,12,1,6,997,3,0.54,2.14,6,5,7,3,5,5,196,-,998,,,,,,,,,,,,,,,,,
180402_1606,1,subjects,3,6,1,0,0,0,0,0,1.9,0,0,0,0,0,0,0,1,1,3,0,-,-,-,-,-,38.16568047,-32.38636364,-,-,6,2,5,8,11,12,1,7,999,3,0.5,1.9,7,5,6,3,5,5,197,-,1000,,,,,,,,,,,,,,,,,
180402_1606,1,subjects,3,7,1,0,0,0,0,0,2.22,0,0,0,0,0,0,0,2,2,4,0,-,-,-,-,-,3.920118343,-32.1969697,-,-,7,1,3,4,9,10,1,4,994,4,0.82,2.22,4,5,4,5,5,6,196,-,997,,,,,,,,,,,,,,,,,
180402_1606,1,subjects,3,8,1,0,0,0,0,0,2.22,0,0,0,0,0,0,0,1,1,4,0,-,-,-,-,-,-12.5,-32.38636364,-,-,8,2,5,6,11,12,1,3,999,3,0.66,2.22,3,5,6,7,5,5,195,-,99999,,,,,,,,,,,,,,,,,
180402_1606,1,subjects,3,9,1,0,0,0,0,0,2.3,0,0,0,0,0,0,0,2,2,5,0,-,-,-,-,-,12.20414201,-32.1969697,-,-,9,1,3,4,7,10,1,5,999,4,0.78,2.3,5,5,4,5,4,6,200,-,99999,,,,,,,,,,,,,,,,,
180402_1606,1,subjects,3,10,1,0,0,0,0,0,2.14,0,0,0,0,0,0,0,2,2,6,0,-,-,-,-,-,30.1035503,-30.87121212,-,-,10,1,3,4,7,9,1,6,992,4,0.74,2.14,6,5,4,5,4,5,196,-,995,,,,,,,,,,,,,,,,,
180402_1606,1,subjects,3,11,1,0,0,0,0,0,2.18,0,0,0,0,0,0,0,1,1,5,0,-,-,-,-,-,12.35207101,-32.1969697,-,-,11,2,5,6,8,12,1,5,993,3,0.58,2.18,5,5,6,7,3,5,191,-,995,,,,,,,,,,,,,,,,,
180402_1606,1,subjects,3,12,1,0,0,0,0,0,2.02,0,0,0,0,0,0,0,1,1,6,0,-,-,-,-,-,15.97633136,-32.38636364,-,-,12,2,5,6,8,11,1,5,999,3,0.58,2.02,5,5,6,7,3,5,189,-,1000,,,,,,,,,,,,,,,,,
