151214_1046,1,globals,Period,NumPeriods,RepeatTreatment,numSubjects,groupSize,numGroups,TRUE,FALSE,Choices,prof,minChoice,fee,rate,a,b,c,choice1,choice2,choice3,choice4,choice5,InfoTime,Time,LastPeriod,groupID,groupIDs[1],groupIDs[2],groupIDs[3],groupIDs[4],groupIDs[5],groupIDs[6],groupIDs[7],groupIDs[8],groupIDs[9],groupIDs[10],groupIDs[11],groupIDs[12],groupIDs[13],groupIDs[14],groupIDs[15],groupIDs[16],groupIDs[17],groupIDs[18],subjectID,pointID,randID,id,au[1],au[2],au[3],au[4],au[5],au[6],au[7],au[8],au[9],au[10],au[11],au[12],au[13],au[14],au[15],au[16],au[17],au[18],Role[1],Role[2],Role[3],Role[4],Role[5],Role[6],Role[7],Role[8],Role[9],Role[10],Role[11],Role[12],Role[13],Role[14],Role[15],Role[16],Role[17],Role[18],i,g
151214_1046,1,subjects,2,2,1,0,0,0,0,0.44,0,0,0,0,0,0,0,0,3,3,1,0,-,-,-,-,-,29.80769231,-26.89393939,-,-,2,6,7,9,10,14,1,6,994,2,0.34,0.44,6,5,5,2,5,7,189,-,998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151214_1046,1,subjects,2,3,1,0,0,0,0,1.72,0,0,0,0,0,0,0,0,2,2,1,0,-,-,-,-,-,29.36390533,-31.81818182,-,-,3,8,12,13,15,17,1,6,982,5,0.94,1.72,6,7,7,5,5,7,194,-,984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151214_1046,1,subjects,2,4,1,0,0,0,0,1.88,0,0,0,0,0,0,0,0,1,1,2,0,-,-,-,-,-,16.19822485,-25.18939394,-,-,4,1,5,11,16,18,1,5,998,5,0.98,1.88,5,5,6,7,7,7,199,-,99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151214_1046,1,subjects,2,5,1,0,0,0,0,1.84,0,0,0,0,0,0,0,0,1,1,3,0,-,-,-,-,-,29.65976331,-32.38636364,-,-,5,1,4,11,16,18,1,6,996,5,0.94,1.84,6,5,5,7,7,7,193,-,998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151214_1046,1,subjects,2,6,1,0,0,0,0,0.48,0,0,0,0,0,0,0,0,3,3,2,0,-,-,-,-,-,16.93786982,-29.16666667,-,-,6,2,7,9,10,14,1,5,982,2,0.38,0.48,5,6,5,2,5,7,190,-,984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151214_1046,1,subjects,2,7,1,0,0,0,0,0.52,0,0,0,0,0,0,0,0,3,3,3,0,-,-,-,-,-,16.49408284,-32.00757576,-,-,7,2,6,9,10,14,1,5,987,2,0.38,0.52,5,6,5,2,5,7,190,-,991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151214_1046,1,subjects,2,8,1,0,0,0,0,1.6,0,0,0,0,0,0,0,0,2,2,2,0,-,-,-,-,-,34.83727811,-32.00757576,-,-,8,3,12,13,15,17,1,7,997,5,0.9,1.6,7,6,7,5,5,7,190,-,99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151214_1046,1,subjects,2,9,1,0,0,0,0,0.84,0,0,0,0,0,0,0,0,3,3,4,0,-,-,-,-,-,-28.99408284,-22.15909091,-,-,9,2,6,7,10,14,1,2,957,2,0.5,0.84,2,6,5,5,5,7,194,-,961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151214_1046,1,subjects,2,10,1,0,0,0,0,0.48,0,0,0,0,0,0,0,0,3,3,5,0,-,-,-,-,-,17.08579882,-25.18939394,-,-,10,2,6,7,9,14,1,5,975,2,0.38,0.48,5,6,5,5,2,7,187,-,983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151214_1046,1,subjects,2,11,1,0,0,0,0,1.8,0,0,0,0,0,0,0,0,1,1,4,0,-,-,-,-,-,37.5,-32.38636364,-,-,11,1,4,5,16,18,1,7,995,5,0.9,1.8,7,5,5,6,7,7,198,-,998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
